iter	Passed	Remaining
0	0	85
1	1	72
2	2	68
3	2	68
4	3	67
5	4	65
6	4	64
7	5	63
8	6	62
9	6	61
10	7	61
11	8	61
12	9	61
13	9	60
14	10	60
15	11	58
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	60	3
94	61	3
95	62	2
96	62	1
97	63	1
98	63	0
99	64	0
